Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-12-07,2015,12,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,49,2015-49,39.07,40.13,38.81,39.41,1347800.0,37.97,0.024168488313781378,35.749999999999986,31.740600000000015
2015-12-08,2015,12,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,49,2015-49,39.3,39.36,37.68,38.74,1212700.0,37.33,-0.017000690668441454,35.971428571428554,32.03320000000001
2015-12-09,2015,12,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,49,2015-49,38.58,39.24,37.42,37.65,1252100.0,36.28,-0.028136215625344296,36.10642857142856,32.29480000000001
2015-12-10,2015,12,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,49,2015-49,38.21,38.76,37.72,38.29,1042200.0,36.89,0.01699831790819961,36.20999999999999,32.55700000000001
2015-12-11,2015,12,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,49,2015-49,37.6,38.3,37.47,37.63,977800.0,36.26,-0.01723678516756133,36.203571428571415,32.80560000000001
2015-12-14,2015,12,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,50,2015-50,37.73,38.3,36.96,38.01,1004800.0,36.62,0.010098127904008658,36.288571428571416,33.07020000000001
2015-12-15,2015,12,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,50,2015-50,38.51,38.6,37.22,37.78,1237300.0,36.4,-0.006050823122766835,36.35571428571428,33.30680000000001
2015-12-16,2015,12,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,50,2015-50,37.76,38.77,37.6,38.56,900600.0,37.15,0.020646018447519676,36.490714285714276,33.582400000000014
2015-12-17,2015,12,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,50,2015-50,38.58,39.12,37.81,37.81,760200.0,36.43,-0.019450308919388926,36.554285714285705,33.837800000000016
2015-12-18,2015,12,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,50,2015-50,37.58,37.94,36.96,37.02,2483600.0,35.67,-0.020893928889416657,36.61071428571427,34.048400000000015
2015-12-21,2015,12,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,51,2015-51,37.31,37.96,37.06,37.48,781700.0,36.11,0.012425696184851676,36.66214285714285,34.24480000000001
2015-12-22,2015,12,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,51,2015-51,37.57,37.7,36.57,37.44,890300.0,36.07,-0.0010672204142374575,36.59714285714285,34.42420000000001
